Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NewReportTestSuite,Chrome 67.0.3396.99,,2018-06-26 16:31:13,2018-06-26 16:32:11,58.201s,PASSED
,,,,,,
Test Cases/eBlox Reporting/TC-Login to Mysdworx,Chrome 67.0.3396.99,,2018-06-26 16:31:13,2018-06-26 16:31:28,14.523s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-06-26 16:31:14,2018-06-26 16:31:18,3.644s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-06-26 16:31:18,2018-06-26 16:31:26,8.681s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-06-26 16:31:26,2018-06-26 16:31:27,1.164s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-26 16:31:27,2018-06-26 16:31:28,0.300s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-26 16:31:28,2018-06-26 16:31:28,0.155s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:31:28,2018-06-26 16:31:28,0.115s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-26 16:31:28,2018-06-26 16:31:28,0.057s,PASSED
,,,,,,
Test Cases/eBlox Reporting/TC-Click on the reporting link,Chrome 67.0.3396.99,,2018-06-26 16:31:28,2018-06-26 16:31:56,28.481s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:31:28,2018-06-26 16:31:56,28.215s,PASSED
switchToWindowTitle,Chrome 67.0.3396.99,,2018-06-26 16:31:56,2018-06-26 16:31:56,0.042s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-26 16:31:56,2018-06-26 16:31:56,0.012s,PASSED
,,,,,,
Test Cases/eBlox Reporting/TC- Click on Button Nouveau rapport,Chrome 67.0.3396.99,,2018-06-26 16:31:56,2018-06-26 16:31:58,1.887s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:31:57,2018-06-26 16:31:58,1.678s,PASSED
,,,,,,
Test Cases/eBlox Reporting/TC1 - Base de rapport,Chrome 67.0.3396.99,,2018-06-26 16:31:58,2018-06-26 16:31:59,0.831s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:31:59,2018-06-26 16:31:59,0.620s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-26 16:31:59,2018-06-26 16:31:59,0.009s,PASSED
,,,,,,
Test Cases/eBlox Reporting/TC2 - Contenu,Chrome 67.0.3396.99,,2018-06-26 16:31:59,2018-06-26 16:32:08,8.586s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-26 16:31:59,2018-06-26 16:32:04,4.149s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:04,2018-06-26 16:32:04,0.094s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:04,2018-06-26 16:32:04,0.720s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-26 16:32:04,2018-06-26 16:32:05,0.188s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:05,2018-06-26 16:32:05,0.107s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:05,2018-06-26 16:32:06,0.854s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-26 16:32:06,2018-06-26 16:32:06,0.160s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:06,2018-06-26 16:32:06,0.109s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:06,2018-06-26 16:32:07,0.750s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-26 16:32:07,2018-06-26 16:32:07,0.192s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:07,2018-06-26 16:32:07,0.105s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:07,2018-06-26 16:32:08,0.761s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:08,2018-06-26 16:32:08,0.193s,PASSED
,,,,,,
Test Cases/eBlox Reporting/TC3 - Selection,Chrome 67.0.3396.99,,2018-06-26 16:32:08,2018-06-26 16:32:10,1.878s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-26 16:32:08,2018-06-26 16:32:08,0.016s,PASSED
uncheck,Chrome 67.0.3396.99,,2018-06-26 16:32:08,2018-06-26 16:32:09,1.459s,PASSED
uncheck,Chrome 67.0.3396.99,,2018-06-26 16:32:09,2018-06-26 16:32:10,0.128s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:10,2018-06-26 16:32:10,0.073s,PASSED
,,,,,,
Test Cases/eBlox Reporting/TC4 - Execution,Chrome 67.0.3396.99,,2018-06-26 16:32:10,2018-06-26 16:32:11,0.890s,PASSED
click,Chrome 67.0.3396.99,,2018-06-26 16:32:10,2018-06-26 16:32:11,0.696s,PASSED
