Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerifyURL(FR),Chrome 67.0.3396.99,,2018-08-01 18:07:38,2018-08-01 18:09:05,1m - 26.443s,FAILED
,,,,,,
Test Cases/eBlox Reporting/TC-Login to Mysdworx,Chrome 67.0.3396.99,,2018-08-01 18:07:39,2018-08-01 18:07:53,14.297s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-01 18:07:39,2018-08-01 18:07:43,3.621s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-01 18:07:43,2018-08-01 18:07:48,5.231s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-08-01 18:07:48,2018-08-01 18:07:49,1.175s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 18:07:49,2018-08-01 18:07:53,3.456s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 18:07:53,2018-08-01 18:07:53,0.170s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:07:53,2018-08-01 18:07:53,0.152s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 18:07:53,2018-08-01 18:07:53,0.064s,PASSED
,,,,,,
Test Cases/Menu-Mes rapports (FR)/TC1 Verify Deployer function,Chrome 67.0.3396.99,,2018-08-01 18:07:53,2018-08-01 18:08:19,25.519s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:07:53,2018-08-01 18:08:02,8.350s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:02,2018-08-01 18:08:18,16.687s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:18,2018-08-01 18:08:19,0.109s,PASSED
,,,,,,
Test Cases/Menu-Mes rapports (FR)/TC2 Verify Masquer function,Chrome 67.0.3396.99,,2018-08-01 18:08:19,2018-08-01 18:08:23,3.974s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 18:08:19,2018-08-01 18:08:19,0.360s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:19,2018-08-01 18:08:19,0.069s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:19,2018-08-01 18:08:19,0.070s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:19,2018-08-01 18:08:23,3.137s,PASSED
,,,,,,
Test Cases/Menu-Mes rapports (FR)/TC3 Verify info icon function,Chrome 67.0.3396.99,,2018-08-01 18:08:23,2018-08-01 18:08:24,1.113s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:23,2018-08-01 18:08:23,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:23,2018-08-01 18:08:24,0.765s,PASSED
,,,,,,
Test Cases/Menu- Bibliotheque (FR)/TC1 Verify Deployer function,Chrome 67.0.3396.99,,2018-08-01 18:08:24,2018-08-01 18:08:26,1.880s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:24,2018-08-01 18:08:25,1.352s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:25,2018-08-01 18:08:25,0.124s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 18:08:25,2018-08-01 18:08:26,0.105s,PASSED
,,,,,,
Test Cases/Menu- Bibliotheque (FR)/TC2 Verify Masquer function,Chrome 67.0.3396.99,,2018-08-01 18:08:26,2018-08-01 18:08:27,1.093s,PASSED
